Title,Parallel,Type,Rarity,Edition Size,Description,Ability,Cost,Attack,Health,Image URL,Token ID,Artist,mp_img_url
Tome Of Aetio,Kathari,Relic,Common,"25,000","“When all seems lost, remember that we are Kathari. Each of us hold the knowledge of a thousand deaths. Loss is only another path to victory.” - Aetio, Exalted Hydrolist","After a unit enters your waste, this relic gains 1 counter.
At the start of your turn, if this relic has 5 or more counters, create a 1/1 Kathari Iterant.
At the start of your turn, if this relic has 10 or more counters, create two 1/1 Kathari Iterants instead.
At the start of your turn, if this relic has 20 or more counters, create three 1/1 Kathari Iterants instead.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_TomeOfAetio/Kat_TomeOfAetio_Day_Cmn_Fe_Img.png,10359,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_TomeOfAetio/Kat_TomeOfAetio_Non_Prm_Mp_Img.png
Tome Of Aetio,Kathari,Relic,Common,"25,000","“When all seems lost, remember that we are Kathari. Each of us hold the knowledge of a thousand deaths. Loss is only another path to victory.” - Aetio, Exalted Hydrolist","After a unit enters your waste, this relic gains 1 counter.
At the start of your turn, if this relic has 5 or more counters, create a 1/1 Kathari Iterant.
At the start of your turn, if this relic has 10 or more counters, create two 1/1 Kathari Iterants instead.
At the start of your turn, if this relic has 20 or more counters, create three 1/1 Kathari Iterants instead.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_TomeOfAetio/Kat_TomeOfAetio_Ngt_Cmn_Fe_Img.png,10361,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_TomeOfAetio/Kat_TomeOfAetio_Non_Prm_Mp_Img.png
Memento Of The Fallen,Universal,Upgrade,Legendary,450,"The inscription on this battle-scarred knife simply reads, “Live Forever - R. Cherry.”","Each time this upgrade is attached to a unit, place a +1/+1 counter on it.
The upgraded unit has additional attack and health equal to the number of counters on this upgrade.
When the upgraded unit is destroyed, you may move this upgrade to another friendly unit instead of wasting it.
If this upgrade would be wasted on the enemy’s turn, instead remove all counters and return the upgrade to your hand.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MementoOfTheFallen/Unv_MementoOfTheFallen_Blu_Lgn_Fe_Img.png,10363,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MementoOfTheFallen/Unv_MementoOfTheFallen_Non_Prm_Mp_Img.png
Memento Of The Fallen,Universal,Upgrade,Legendary,450,"The inscription on this battle-scarred knife simply reads, “Live Forever - R. Cherry.”","Each time this upgrade is attached to a unit, place a +1/+1 counter on it.
The upgraded unit has additional attack and health equal to the number of counters on this upgrade.
When the upgraded unit is destroyed, you may move this upgrade to another friendly unit instead of wasting it.
If this upgrade would be wasted on the enemy’s turn, instead remove all counters and return the upgrade to your hand.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MementoOfTheFallen/Unv_MementoOfTheFallen_Org_Lgn_Fe_Img.png,10365,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MementoOfTheFallen/Unv_MementoOfTheFallen_Non_Prm_Mp_Img.png
Scanner Array,Augencore,Upgrade,Common,"20,000","Long before you see us, we will know you are coming.","After upgraded unit deals damage, the enemy reveals one of their banked cards.",0,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ScannerArray/Agc_ScannerArray_Ear_Cmn_Fe_Img.png,10367,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ScannerArray/Agc_ScannerArray_Non_Prm_Mp_Img.png
Scanner Array,Augencore,Upgrade,Common,"20,000","Long before you see us, we will know you are coming.","After upgraded unit deals damage, the enemy reveals one of their banked cards.",0,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ScannerArray/Agc_ScannerArray_Mrs_Cmn_Fe_Img.png,10369,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ScannerArray/Agc_ScannerArray_Non_Prm_Mp_Img.png
Paradigm Shift,Earthen,Upgrade,Common,"26,000",We are Earthen. We are those that remained and as a reward the Earth itself can protect us. You just need to ask.,"Upgraded unit has +0/+2.
Double any healing upgraded unit receives.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ParadigmShift/Ert_ParadigmShift_Day_Cmn_Fe_Img.png,10371,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ParadigmShift/Ert_ParadigmShift_Non_Prm_Mp_Img.png
Paradigm Shift,Earthen,Upgrade,Common,"26,000",We are Earthen. We are those that remained and as a reward the Earth itself can protect us. You just need to ask.,"Upgraded unit has +0/+2.
Double any healing upgraded unit receives.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ParadigmShift/Ert_ParadigmShift_Ngt_Cmn_Fe_Img.png,10372,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ParadigmShift/Ert_ParadigmShift_Non_Prm_Mp_Img.png
The Staff Of Shoshanna,Earthen,Relic,Uncommon,"7,800","I heard that what she can do goes beyond healing. She not only mends broken bones and knits flesh, but she can give you power you never even knew you had.","After a friendly unit triggers Decay, this relic gains 1 counter.
Activate, spend 4 energy, destroy this relic: Heal yourself equal to the number of counters on this relic.",1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_TheStaffOfShoshanna/Ert_TheStaffOfShoshanna_Non_Ucm_Fe_Img.png,10378,@OSCARMARSTUDIO,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_TheStaffOfShoshanna/Ert_TheStaffOfShoshanna_Non_Prm_Mp_Vid.gif
Emp Shockwave,Universal,Effect,Uncommon,"10,000",Winning a battle is significantly easier once your opponent can’t fight back.,"Choose one:
Destroy all relics.
Destroy all upgrades",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_EmpShockwave/Unv_EmpShockwave_Non_Ucm_Fe_Img.png,10384,@OSCARMARSTUDIO,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_EmpShockwave/Unv_EmpShockwave_Non_Prm_Mp_Vid.gif
Seer's Stone,Universal,Relic,Rare,"3,200","Do not discard the traditions of old, for sometimes they illuminate the path ahead.","The top card of your deck is always revealed to you.
Activate, destroy target friendly card you control: Waste the top card of your deck.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_SeersStone/Unv_SeersStone_Non_Rar_Fe_Img.png,10388,@OSCARMARSTUDIO,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_SeersStone/Unv_SeersStone_Non_Prm_Mp_Vid.gif
Infused Core,Universal,Relic,Rare,"3,200","“This thing will make light speed travel seem like a joke! Just uh, don’t drop it ok?” - Black Market Vendor","Put a banked card under this relic revealed. That card produces 2 energy each turn.
If this relic leaves the field, waste the card underneath.
If this relic is destroyed, take 4 damage.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_InfusedCore/Unv_InfusedCore_Non_Rar_Fe_Img.png,10391,@OSCARMARSTUDIO,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_InfusedCore/Unv_InfusedCore_Non_Prm_Mp_Vid.gif
Unfair Advantage,Augencore,Effect,Uncommon,"8,800",Taking on an Augencore Warrior means taking on the genius of the whole ship.,Target upgraded friendly unit attacks an enemy unit of your choice. It gains Evasive for this attack.,1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_UnfairAdvantage/Agc_UnfairAdvantage_Non_Ucm_Fe_Img.png,10393,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_UnfairAdvantage/Agc_UnfairAdvantage_Non_Prm_Mp_Img.png
"Magna, Tempest's Will",Kathari,Unit,Legendary,800,"“I don’t need Alpha genes to take down our foes, just give me my gun.”","Muster: Choose one:
Deal damage equal to this unit’s attack to target enemy unit.
Draw a card.
Deal 1 damage to the enemy.
If a friendly Kathari unit was destroyed on the enemy’s last turn, do all three instead.",3,3.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_MagnaTempestsWill/Kat_MagnaTempestsWill_Non_Lgn_Fe_Img.png,10395,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_MagnaTempestsWill/Kat_MagnaTempestsWill_Non_Prm_Mp_Img.png
Mantis Corsair,Universal,Unit,Common,"56,000","Swift & agile beyond belief, mercantile craft pray they do not fall victim to a Mantis.",Muster: Deal 3 damage to the enemy.,5,4.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MantisCorsair/Unv_MantisCorsair_Non_Cmn_Fe_Img.png,10397,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_MantisCorsair/Unv_MantisCorsair_Non_Prm_Mp_Img.png
Data Breach,Universal,Effect,Legendary,850,The most valuable currency of all.,Reveal all bank cards.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_DataBreach/Unv_DataBreach_Non_Lgn_Fe_Img.png,10445,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_DataBreach/Unv_DataBreach_Non_Prm_Mp_Img.png
Assembly Foreman,Augencore,Unit,Rare,"2,900","Tasked with the smooth operation of the Augencore’s great foundries, the Foreman maintains relentless efficiency.","Activate: Choose one:
Spend 1 energy: Create a 1/1 Servo Arm.
Waste a friendly banked card: Create a 3/3 Arc Walker.
Limit once per turn.",2,2.0,1.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_AssemblyForeman/Agc_AssemblyForeman_Non_Rar_Fe_Img.png,10446,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_AssemblyForeman/Agc_AssemblyForeman_Non_Prm_Mp_Img.png
Battle-Hardened Warrior,Earthen,Unit,Uncommon,"8,500",You get hurt. They pick you up and send you back out. Hopefully you learn something in the process.,"After this unit is healed, it gains attack equal to the health restored.",4,4.0,6.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_BattleHardenedWarrior/Ert_BattleHardenedWarrior_Non_Ucm_Fe_Img.png,10482,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_BattleHardenedWarrior/Ert_BattleHardenedWarrior_Non_Prm_Mp_Img.png
Inspiring Teacher,Universal,Unit,Common,"60,000",She inspired those she taught. They were not going to let her death go unavenged.,Aftermath: Create a 2/1 Furious Student.,3,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_InspiringTeacher/Unv_InspiringTeacher_Non_Cmn_Fe_Img.png,10493,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_InspiringTeacher/Unv_InspiringTeacher_Non_Prm_Mp_Img.png
Disciple Of Maritus,Kathari,Unit,Uncommon,"10,000","“The Kathari are like a weed - fell one, and 3 take its place. Be careful out there, pilot.” - Jahn, Chief Engineer","After a friendly Kathari unit is destroyed, this unit gains 1 counter.
Aftermath: Create a 1/1 Kathari Iterant for each counter on this unit.",4,4.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_DiscipleOfMaritus/Kat_DiscipleOfMaritus_Non_Ucm_Fe_Img.png,10494,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_DiscipleOfMaritus/Kat_DiscipleOfMaritus_Non_Prm_Mp_Img.png
Enduring Immunus,Kathari,Unit,Common,"60,000","Feeling Death’s slow and icy embrace, Vitus Delta makes a stand.","The first time each turn another friendly non-token non-paragon Kathari unit would be destroyed, put it into your hand instead.",3,2.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_EnduringImmunus/Kat_EnduringImmunus_Non_Cmn_Fe_Img.png,10498,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_EnduringImmunus/Kat_EnduringImmunus_Non_Prm_Mp_Img.png
Formatician's Exalt,Kathari,Unit,Common,"60,000",Each Hydroleum has an Exalt. They are the bridge by which the Kathari travel from death to rebirth.,"After this enters your waste from anywhere other than the field, create a 1/1 Kathari Iterant.
Muster: Draw a card.",4,3.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_FormaticiansExalt/Kat_FormaticiansExalt_Non_Cmn_Fe_Img.png,10500,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_FormaticiansExalt/Kat_FormaticiansExalt_Non_Prm_Mp_Img.png
Gallian Orator,Kathari,Unit,Rare,"3,500",Galli’s Twelve Tenets are passed down to every Kathari as they are born. Ask any Kathari and they can recite them by heart.,"This unit costs 1 less (to a minimum of 1) for each friendly Kathari Iterant.
Muster: Transform target unit into a Kathari Iterant, then create two 1/1 Kathari Iterants.",10,4.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_GallianOrator/Kat_GallianOrator_Non_Rar_Fe_Img.png,10502,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_GallianOrator/Kat_GallianOrator_Non_Prm_Mp_Img.png
Polyploidian Vessel,Kathari,Upgrade,Uncommon,"10,000","“Young one, fear not the coming battle. With this Vessel, you will overwhelm them entirely.” - Indutius, Master Armorer","At the end of your turn, create a copy of upgraded unit.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_PolyploidianVessel/Kat_PolyploidianVessel_Non_Ucm_Fe_Img.png,10504,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_PolyploidianVessel/Kat_PolyploidianVessel_Non_Prm_Mp_Img.png
Progenitor Pod,Kathari,Unit,Legendary,"1,000","Aetio leaned forward, and peered into the dense cellular reanimating fluid and pulled out an arm that immediately fell apart. She frowned. “This one needs more time.”","This unit can't attack.
At the end of your turn, if a friendly unit was destroyed, this unit gains a counter.
At the start of your turn, if this unit has 3 or more counters, remove 3 counters to return a unit from any waste to the field under your control.",3,0.0,8.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ProgenitorPod/Kat_ProgenitorPod_Non_Lgn_Fe_Img.png,10506,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ProgenitorPod/Kat_ProgenitorPod_Non_Prm_Mp_Img.png
Voice Of Europa,Kathari,Unit,Rare,"3,500","“Children of Europa, take up arms as a proud Kathari warrior. See the system, and live your lives gloriously. Service guarantees Alpha genes!”","The first time you create a Kathari Iterant each turn, create one more.",3,3.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_VoiceOfEuropa/Kat_VoiceOfEuropa_Non_Rar_Fe_Img.png,10508,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_VoiceOfEuropa/Kat_VoiceOfEuropa_Non_Prm_Mp_Img.png
Crimson Fleet Machinist,Marcolian,Unit,Common,"60,000","Tasked with maintaining the fearsome armored brigades of Mars while they are in transit, the machinists carry out their duty with utmost care.","Muster: Draw a random Vehicle.
When a friendly Vehicle enters the field, it gains +0/+1.",1,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_CrimsonFleetMachinist/Mcl_CrimsonFleetMachinist_Non_Cmn_Fe_Img.png,10510,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_CrimsonFleetMachinist/Mcl_CrimsonFleetMachinist_Non_Prm_Mp_Img.png
Determined Assault,Marcolian,Effect,Common,"60,000",Every Marcolian soldier knows that the greatness of Mars was bought with blood.,Deal 3 damage to yourself and any target.,2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_DeterminedAssault/Mcl_DeterminedAssault_Non_Cmn_Fe_Img.png,10512,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_DeterminedAssault/Mcl_DeterminedAssault_Non_Prm_Mp_Img.png
Grizzled Scout,Marcolian,Unit,Rare,"3,500","The eyes & ears of Mars. Technology leads the way in monitoring enemy movements, but nothing replaces the intuition of the Scout Corps.","When another friendly unit attacks, that unit gains +1/+0.",4,4.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_GrizzledScout/Mcl_GrizzledScout_Non_Rar_Fe_Img.png,10514,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_GrizzledScout/Mcl_GrizzledScout_Non_Prm_Mp_Img.png
Collapsing Star,Shroud,Relic,Legendary,"1,000","The very stars themselves bend to our master’s will, how do you dare to resist?","This relic enters the field with 3 counters.
At the start of your turn, remove 1 counter from this relic.
At the end of your turn, banish a random card from your bank or hand. If you can't, banish this relic.
After the last counter is removed from this relic, play up to three cards from your singularity for free, then banish this relic.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_CollapsingStar/Shr_CollapsingStar_Non_Lgn_Fe_Img.png,10516,@OSCARMARSTUDIO,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_CollapsingStar/Shr_CollapsingStar_Non_Prm_Mp_Vid.gif
Dimension Shifter,Shroud,Relic,Rare,"3,500","The Marcolian simply vanished, and in his place stood something different, something strange.","At the end of your turn, banish a random friendly unit and put a random unit from your singularity onto the field.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_DimensionShifter/Shr_DimensionShifter_Non_Rar_Fe_Img.png,10517,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_DimensionShifter/Shr_DimensionShifter_Non_Prm_Mp_Img.png
Erasure,Shroud,Effect,Common,"60,000",A corpse can become a martyr. So we shall turn you to nothing.,Banish target unit.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_Erasure/Shr_Erasure_Non_Cmn_Fe_Img.png,10519,@_CHRISBJERRE,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_Erasure/Shr_Erasure_Non_Prm_Mp_Vid.gif
Mind Twister,Shroud,Effect,Common,"60,000","The Shroud cloud the minds of their enemies, making it near impossible to tell friend from foe.","Conceal all bank cards. Randomly redistribute each bank card evenly between both players, starting with the enemy.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_MindTwister/Shr_MindTwister_Non_Cmn_Fe_Img.png,10521,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_MindTwister/Shr_MindTwister_Non_Prm_Mp_Img.png
Nullifier Acolyte,Shroud,Unit,Uncommon,"10,000","“It was like nothing I’ve felt before. Like all my senses being suffocated at once, I’m lucky Soleia was there to take him down.” - Earthen Healer’s diary after first contact with a Shroud kill team.","Effects that target you or other friendly units cost 2 more.
Aftermath: Banish this unit.",2,1.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_NullifierAcolyte/Shr_NullifierAcolyte_Non_Ucm_Fe_Img.png,10523,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_NullifierAcolyte/Shr_NullifierAcolyte_Non_Prm_Mp_Img.png
Void-Touched Novice,Shroud,Unit,Uncommon,"10,000","“Arise, my faithful warrior. It is not your time. Yet.” - Niamh, Wielder of Faith","Muster: Deal 1 damage to a random enemy unit. If this would destroy the enemy unit, banish it instead.
If this unit would enter the waste, banish it transformed into Void-Touched Adept instead.",2,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_VoidTouchedNovice/Shr_VoidTouchedNovice_Non_Ucm_Fe_Img.png,10525,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_VoidTouchedNovice/Shr_VoidTouchedNovice_Non_Prm_Mp_Img.png
Enhanced Exoskeleton,Augencore,Upgrade,Uncommon,"10,000","“I swear, he lifted a Lancer Tank by himself… what? Why are you looking at me like that!” - Conversation overheard in a Marcolian trench.",Upgraded unit has +1/+1 for each upgrade not named Enhanced Exoskeleton attached to it and gains Shielded.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_EnhancedExoskeleton/Agc_EnhancedExoskeleton_Non_Ucm_Fe_Img.png,10527,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_EnhancedExoskeleton/Agc_EnhancedExoskeleton_Non_Prm_Mp_Img.png
Hardlinked Pilot,Augencore,Unit,Common,"60,000","Trained & specifically bionically enhanced to be up to the task, these are the men & women who pilot the Augencore’s most devastating machines.","Shielded, Salvage 1
If this unit is upgraded, it gains Defender.",1,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_HardlinkedPilot/Agc_HardlinkedPilot_Non_Cmn_Fe_Img.png,10529,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_HardlinkedPilot/Agc_HardlinkedPilot_Non_Prm_Mp_Img.png
Jump Recovery,Augencore,Relic,Rare,"3,500","“Waste not, want not.” - Ancient Augencore Proverb","This relic enters the field with counters equal to the number of revealed enemy bank cards.
When a friendly upgraded unit is destroyed, you may remove a counter from this relic to Salvage an upgrade. Limit once per turn.
After this relic has no counters, destroy it.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_JumpRecovery/Agc_JumpRecovery_Non_Rar_Fe_Img.png,10531,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_JumpRecovery/Agc_JumpRecovery_Non_Prm_Mp_Img.png
Point Defense Turret,Augencore,Relic,Rare,"3,500",Few would dare mount a raid on one of the mighty ships of the Augencore. Those that do quickly meet their demise in a hail of return fire.,"This relic enters the field with 1 counter.
When the enemy plays an effect, this relic gains 1 counter.
Activate, remove 1 counter: Deal 2 damage to any target.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_PointDefenseTurret/Agc_PointDefenseTurret_Non_Rar_Fe_Img.png,10533,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_PointDefenseTurret/Agc_PointDefenseTurret_Non_Prm_Mp_Img.png
Scrapheap Salvager,Augencore,Unit,Common,"60,000","It’s not a glamorous job, but it serves a vital purpose ensuring little goes to waste.","Salvage 1
Muster: You may attach an upgrade with cost 3 or less from your waste onto this unit.",3,2.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ScrapheapSalvager/Agc_ScrapheapSalvager_Non_Cmn_Fe_Img.png,10535,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ScrapheapSalvager/Agc_ScrapheapSalvager_Non_Prm_Mp_Img.png
Upcycled Technology,Augencore,Upgrade,Rare,"3,500","Nothing wasted, a second chance for everything.","After this is attached, select a friendly banked Augencore card. After upgraded unit is destroyed, play the chosen card for free.",5,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_UpcycledTechnology/Agc_UpcycledTechnology_Non_Rar_Fe_Img.png,10537,@_CHRISBJERRE,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_UpcycledTechnology/Agc_UpcycledTechnology_Non_Prm_Mp_Vid.gif
Ardent Negotiator,Earthen,Unit,Uncommon,"10,000",There are times when someone needs to step in and show them fighting isn’t always the best solution.,"Defender
After this unit defends and survives, put the attacking unit into its owner’s hand.",4,2.0,5.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ArdentNegotiator/Ert_ArdentNegotiator_Non_Ucm_Fe_Img.png,10539,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ArdentNegotiator/Ert_ArdentNegotiator_Non_Prm_Mp_Img.png
